data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.992474
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.371000
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.303461
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.183241
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.155492
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.090252
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.093909
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.075326
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.074250
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.023558
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.029263
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.002874
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.013390
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.008809
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.011671
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.010799
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.008474
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.005111
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.007667
