data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.468204
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:001, data loss:0.095571
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.082799
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:002, data loss:0.053681
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.063469
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:003, data loss:0.025222
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.036030
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:004, data loss:0.010924
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.021185
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:005, data loss:0.007764
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.015870
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:006, data loss:0.003052
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.008067
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:007, data loss:0.002605
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.005471
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:008, data loss:0.002022
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.004385
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:009, data loss:0.003514
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002979
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:010, data loss:0.002056
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002365
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:011, data loss:0.002159
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002071
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:012, data loss:0.002028
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001836
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:013, data loss:0.002467
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001660
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:014, data loss:0.001862
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001601
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:015, data loss:0.002135
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001467
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:016, data loss:0.002391
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001498
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:017, data loss:0.002065
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001206
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:018, data loss:0.001529
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001430
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:019, data loss:0.001211
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001225
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:020, data loss:0.001104
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001281
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:021, data loss:0.001175
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001268
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:022, data loss:0.001304
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000993
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:023, data loss:0.001691
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001131
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:024, data loss:0.001567
