data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:1.188096
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:001, data loss:0.726161
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.631795
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:002, data loss:0.327480
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.307845
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:003, data loss:0.144384
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.201828
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:004, data loss:0.173505
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.188945
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:005, data loss:0.155623
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.126179
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:006, data loss:0.046576
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.050537
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:007, data loss:0.019239
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.067073
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:008, data loss:0.045449
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.080739
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:009, data loss:0.018407
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.040758
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:010, data loss:0.045131
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.039408
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:011, data loss:0.062144
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.035394
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:012, data loss:0.021137
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.023054
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:013, data loss:0.006669
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.027073
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:014, data loss:0.002761
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.014400
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:015, data loss:0.005730
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.011572
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:016, data loss:0.011184
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.013711
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:017, data loss:0.011091
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.013902
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:018, data loss:0.008246
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.010075
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:019, data loss:0.005328
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.008150
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:020, data loss:0.003142
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.004938
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:021, data loss:0.001580
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.005033
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:022, data loss:0.001507
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.004556
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:023, data loss:0.004637
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.004192
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:024, data loss:0.010153
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.005190
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:025, data loss:0.009270
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.003950
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:026, data loss:0.004080
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.003299
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:027, data loss:0.001855
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.003278
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:028, data loss:0.002802
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.002442
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:029, data loss:0.004603
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.002979
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:030, data loss:0.004146
