data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.708962
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:001, data loss:0.344105
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.349939
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:002, data loss:0.189107
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.243680
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:003, data loss:0.206433
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.223782
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:004, data loss:0.130395
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.130456
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:005, data loss:0.026889
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.064190
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:006, data loss:0.047049
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.085607
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:007, data loss:0.030001
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.050265
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:008, data loss:0.025063
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.045299
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:009, data loss:0.055858
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.050612
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:010, data loss:0.018186
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.026855
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:011, data loss:0.009666
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.034144
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:012, data loss:0.008449
