data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.275622
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:001, data loss:0.020469
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.063588
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:002, data loss:0.041172
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.040525
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:003, data loss:0.013190
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.036884
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:004, data loss:0.009521
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.019628
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:005, data loss:0.003504
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.016637
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:006, data loss:0.000846
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.012563
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:007, data loss:0.002392
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.010801
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:008, data loss:0.000477
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.009053
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:009, data loss:0.000925
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.006436
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:010, data loss:0.000729
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.005078
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:011, data loss:0.001008
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.003850
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:012, data loss:0.001168
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.003300
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:013, data loss:0.001417
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002784
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:014, data loss:0.001380
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002366
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:015, data loss:0.000772
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001889
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:016, data loss:0.000812
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001632
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:017, data loss:0.001388
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001270
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:018, data loss:0.001045
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001157
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:019, data loss:0.000970
