data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.549327
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:001, data loss:0.140520
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.078730
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:002, data loss:0.078500
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.063987
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:003, data loss:0.020373
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.033612
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:004, data loss:0.016757
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.021631
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:005, data loss:0.007860
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.014535
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:006, data loss:0.004664
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.011851
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:007, data loss:0.000586
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.007396
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:008, data loss:0.002068
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.005897
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:009, data loss:0.000267
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003908
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:010, data loss:0.001509
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003129
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:011, data loss:0.000529
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002630
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:012, data loss:0.000831
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002235
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:013, data loss:0.001317
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001819
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:014, data loss:0.000430
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001570
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:015, data loss:0.001473
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001348
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:016, data loss:0.000690
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001092
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:017, data loss:0.001191
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001141
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:018, data loss:0.001122
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001069
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:019, data loss:0.000781
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000932
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:020, data loss:0.001212
