data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.587954
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:001, data loss:0.140674
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.085924
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:002, data loss:0.066070
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.081561
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:003, data loss:0.024593
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.034242
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:004, data loss:0.018809
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.032874
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:005, data loss:0.010919
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.017153
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:006, data loss:0.003896
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.010915
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:007, data loss:0.003028
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.007100
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:008, data loss:0.003238
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.005109
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:009, data loss:0.001848
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003712
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:010, data loss:0.002138
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002894
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:011, data loss:0.001558
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002342
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:012, data loss:0.001790
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001899
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:013, data loss:0.001405
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001855
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:014, data loss:0.002089
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001559
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:015, data loss:0.001784
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001435
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:016, data loss:0.001178
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001470
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:017, data loss:0.002185
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001124
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:018, data loss:0.001202
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001149
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:019, data loss:0.001557
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001281
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:020, data loss:0.001839
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001228
