data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.895864
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:001, data loss:0.522821
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.458631
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:002, data loss:0.213043
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.208215
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:003, data loss:0.132904
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.175883
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:004, data loss:0.172229
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.172149
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:005, data loss:0.116958
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.097245
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:006, data loss:0.022961
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.038545
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:007, data loss:0.020741
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.059413
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:008, data loss:0.040014
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.065424
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:009, data loss:0.016111
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.031541
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:010, data loss:0.025876
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.026183
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:011, data loss:0.045106
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.027786
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:012, data loss:0.022754
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.016341
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:013, data loss:0.003745
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.016809
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:014, data loss:0.001622
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.013512
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:015, data loss:0.002135
