data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.748718
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.267345
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.220622
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.091890
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.104043
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.076584
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.084370
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.009876
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.044222
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.028107
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.057505
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.012422
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.029956
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.004673
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.023683
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.005288
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.017354
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.002066
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.011682
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:010, data loss:0.004748
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.009140
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:011, data loss:0.002302
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.006125
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:012, data loss:0.003954
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.004808
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:013, data loss:0.002053
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.004375
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:014, data loss:0.003360
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.003066
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:015, data loss:0.002025
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002138
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:016, data loss:0.001741
