data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.459555
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:001, data loss:0.101107
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.080767
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:002, data loss:0.055908
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.052564
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:003, data loss:0.025874
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.036372
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:004, data loss:0.008020
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.023451
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:005, data loss:0.011171
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.018961
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:006, data loss:0.002674
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.014310
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:007, data loss:0.001850
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.011480
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:008, data loss:0.000722
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.008794
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:009, data loss:0.000887
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.006894
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:010, data loss:0.000874
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.005334
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:011, data loss:0.000322
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.003943
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:012, data loss:0.001151
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.003108
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:013, data loss:0.000549
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002605
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:014, data loss:0.001019
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002001
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:015, data loss:0.000938
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001835
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:016, data loss:0.000717
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001475
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:017, data loss:0.001075
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001403
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:018, data loss:0.001673
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001193
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:019, data loss:0.000845
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001238
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:020, data loss:0.000755
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001228
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:021, data loss:0.001219
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001086
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:022, data loss:0.001421
