data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.667407
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.272268
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.191345
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.057842
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.048717
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.050320
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.054456
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.036148
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.033422
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.008977
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.021246
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.013695
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.017382
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.019071
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.010319
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.000655
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.006546
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.005531
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.006406
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:010, data loss:0.005814
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.005349
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:011, data loss:0.001135
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.004428
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:012, data loss:0.002607
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002780
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:013, data loss:0.002748
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002118
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:014, data loss:0.001165
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002103
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:015, data loss:0.002688
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001734
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:016, data loss:0.002061
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001702
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:017, data loss:0.001774
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001573
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:018, data loss:0.002309
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001664
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:019, data loss:0.001694
