data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.611450
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:001, data loss:0.288746
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.279170
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:002, data loss:0.131453
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.173389
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:003, data loss:0.126120
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.159216
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:004, data loss:0.084310
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.090651
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:005, data loss:0.019831
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.049129
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:006, data loss:0.040391
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.062016
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:007, data loss:0.019753
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.035598
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:008, data loss:0.019802
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.036398
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:009, data loss:0.035611
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.032264
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:010, data loss:0.009311
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.016668
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:011, data loss:0.008604
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.021826
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:012, data loss:0.006574
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.015268
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:013, data loss:0.004177
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.008394
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:014, data loss:0.017162
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.012371
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:015, data loss:0.009694
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.006383
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:016, data loss:0.000565
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.007115
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:017, data loss:0.000712
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.006590
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:018, data loss:0.001437
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.003418
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:019, data loss:0.005757
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.004280
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:020, data loss:0.003956
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.003650
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:021, data loss:0.000968
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.004459
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:022, data loss:0.000705
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.003518
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:023, data loss:0.001312
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.002921
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:024, data loss:0.003410
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.002328
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:025, data loss:0.002532
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001847
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:026, data loss:0.000905
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.002549
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:027, data loss:0.001863
