voltage mean,voltage std,voltage kurtosis,voltage skewness,CC Q,CC charge time,voltage slope,voltage entropy,current mean,current std,current kurtosis,current skewness,CV Q,CV charge time,current slope,current entropy,capacity
4.149095692735637,0.038827305199422,2.530104304389239,-0.7358548633516219,2459.3193388298514,0.5633332500000001,0.2751534208770719,4.410499157453493,0.2480356948874623,0.1141737443058054,-0.8956705171783983,0.5478362146485021,366.947093396814,0.4116664166666669,-0.9676819292281102,4.491631750560489,4.90310335159302
4.148855154627734,0.0388595975138898,2.5193467208925986,-0.7290216168436309,2471.408064027977,0.5661110277777779,0.2741478077864359,4.412654070094906,0.2487377116670538,0.1147278726802606,-0.9043547732267828,0.544973922587456,370.4730855868703,0.4144446666666691,-0.96253722670586,4.490484310197426,4.90310335159302
4.149084182068853,0.0388117367069144,2.5275835342526007,-0.7323061859199815,2448.379620435918,0.560833222222225,0.2765542701521223,4.410737620097383,0.2493823389714013,0.1149069077023653,-0.914632131964149,0.5381111082049397,370.9347723966272,0.4136112777777776,-0.9637553551967608,4.49538419932683,4.90310335159302
4.148789218326253,0.0388832327847661,2.521233273066244,-0.729412786286759,2462.3948929257845,0.5640510833333328,0.2755074509665401,4.414997224933373,0.2487626463314269,0.1147476789226118,-0.9065685417431588,0.5434599479006429,372.0495666170017,0.415833249999996,-0.9582694412602948,4.49383101135282,4.90310335159302
4.14949907031737,0.0386661356657102,2.529565416339104,-0.7349736142315908,2429.961485994288,0.5566072499999993,0.2776902037221975,4.40878750033034,0.2495561337219495,0.1149357159289658,-0.9146336396369276,0.5383256129145686,372.8893928261917,0.4161110555555529,-0.9597283367127886,4.4952326394627,4.90310335159302
4.148992631210024,0.0388825837344192,2.517691546431777,-0.7286423959451527,2436.270649229551,0.5580554444444392,0.2779675890465706,4.412736170860532,0.2491244218809895,0.1146525797549212,-0.9105571127586808,0.5403081292692823,376.5772466926997,0.4202776666666614,-0.949546153952593,4.491386740254635,4.90310335159302
4.134587853946149,0.0474598407539665,1.9590349546567136,-0.446047861076061,3058.370767100889,0.7005554722222183,0.2471216240117305,4.496388984542264,0.2489071058240782,0.1147480851024634,-0.910067167830248,0.5413047344374129,377.6930565656761,0.4222221388888849,-0.9468722192772184,4.4931601605686,4.90310335159302
4.149156544490785,0.03882338651635,2.516973272176227,-0.7278701030644923,2405.9512595247616,0.5511112777777857,0.2810729238122693,4.4109003950210415,0.2493849737684967,0.1147423300878236,-0.9159805404244694,0.5365268303066989,383.208690375427,0.4280555833333346,-0.9315355166432252,4.496460823441334,4.90310335159302
4.149326871653072,0.0386525552744421,2.5531723867480705,-0.7435441341115594,2439.901259778179,0.5588887222222143,0.277269893537763,4.408086419272407,0.2493422579044932,0.1146057215125431,-0.9154630893275182,0.5369393335978493,377.01103532196,0.4213887499999934,-0.9465885083991408,4.495015920224817,4.90310335159302
4.149140150211583,0.0388304230086808,2.5241234724511408,-0.7306920235290928,2403.527188849502,0.5505555833333347,0.2814475609426579,4.410508668956887,0.2493886420345121,0.1149533196861439,-0.915311287768731,0.5371518013483112,384.80860860713074,0.4291666111111085,-0.9316225065770872,4.494132127595641,4.90310335159302
