data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.334587
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:001, data loss:0.039166
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.064802
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:002, data loss:0.053537
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.041208
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:003, data loss:0.012212
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.031939
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:004, data loss:0.011786
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.019972
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:005, data loss:0.004449
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.016022
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:006, data loss:0.002937
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.012332
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:007, data loss:0.001568
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.007783
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:008, data loss:0.001609
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.005980
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:009, data loss:0.001211
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.004131
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:010, data loss:0.000413
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002826
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:011, data loss:0.000984
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002188
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:012, data loss:0.001141
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001768
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:013, data loss:0.000480
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001470
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:014, data loss:0.000976
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001267
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:015, data loss:0.000913
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001112
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:016, data loss:0.001404
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001135
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:017, data loss:0.001355
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001035
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:018, data loss:0.001020
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000941
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:019, data loss:0.001101
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000913
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:020, data loss:0.001079
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000807
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:021, data loss:0.000733
