data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.541798
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:001, data loss:0.257515
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.217578
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:002, data loss:0.089274
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.112312
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:003, data loss:0.103432
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.116279
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:004, data loss:0.087571
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.076385
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:005, data loss:0.015252
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.030178
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:006, data loss:0.030517
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.058072
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:007, data loss:0.037861
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.050274
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:008, data loss:0.009945
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.024613
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:009, data loss:0.026129
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.032851
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:010, data loss:0.019755
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.017822
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:011, data loss:0.000875
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.012842
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:012, data loss:0.008215
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.020122
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:013, data loss:0.003733
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.010508
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:014, data loss:0.004527
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.009063
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:015, data loss:0.015770
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.011372
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:016, data loss:0.007531
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.005464
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:017, data loss:0.000409
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.005879
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:018, data loss:0.001592
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.006361
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:019, data loss:0.000506
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.003300
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:020, data loss:0.005064
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.004608
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:021, data loss:0.005050
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.003447
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:022, data loss:0.000964
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.002698
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:023, data loss:0.000449
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.003321
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:024, data loss:0.000423
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.002060
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:025, data loss:0.002574
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.002535
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:026, data loss:0.003690
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.002041
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:027, data loss:0.001267
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001769
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:028, data loss:0.000366
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001972
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:029, data loss:0.001161
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001555
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:030, data loss:0.002570
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001581
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:031, data loss:0.001791
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.001425
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:032, data loss:0.000555
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.001358
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:033, data loss:0.000547
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.001447
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:034, data loss:0.001474
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.001414
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:035, data loss:0.001787
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.001084
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:036, data loss:0.001043
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.001400
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:037, data loss:0.000708
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.001190
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:038, data loss:0.001280
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.001152
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:039, data loss:0.001687
