data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.587147
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:001, data loss:0.163270
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.092160
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:002, data loss:0.059017
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.084968
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:003, data loss:0.035820
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.035324
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:004, data loss:0.013718
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.036376
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:005, data loss:0.016574
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.018541
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:006, data loss:0.001009
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.012740
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:007, data loss:0.005186
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.010071
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:008, data loss:0.001932
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.005008
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:009, data loss:0.001139
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.004120
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:010, data loss:0.001535
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003491
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:011, data loss:0.001739
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002544
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:012, data loss:0.001565
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002123
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:013, data loss:0.000775
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001837
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:014, data loss:0.001801
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001699
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:015, data loss:0.000708
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001833
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:016, data loss:0.001797
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001514
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:017, data loss:0.001624
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001464
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:018, data loss:0.001353
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001372
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:019, data loss:0.001056
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001226
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:020, data loss:0.001716
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001176
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:021, data loss:0.000879
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001138
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:022, data loss:0.001157
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001202
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:023, data loss:0.001179
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001164
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:024, data loss:0.001144
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000955
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:025, data loss:0.001221
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000932
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:026, data loss:0.000803
