data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.596305
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:001, data loss:0.135010
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.088380
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:002, data loss:0.088350
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.088634
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:003, data loss:0.013964
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.030026
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:004, data loss:0.023896
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.037733
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:005, data loss:0.007250
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.018704
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:006, data loss:0.008332
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.020256
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:007, data loss:0.001635
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.011086
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:008, data loss:0.003694
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.008529
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:009, data loss:0.001983
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.004787
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:010, data loss:0.002181
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.004013
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:011, data loss:0.001497
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002267
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:012, data loss:0.001647
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.001873
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:013, data loss:0.001378
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001560
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:014, data loss:0.001766
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001320
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:015, data loss:0.001610
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001255
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:016, data loss:0.001117
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.000992
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:017, data loss:0.001255
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.000913
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:018, data loss:0.001521
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.000846
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:019, data loss:0.001658
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.000823
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:020, data loss:0.001454
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.000718
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:021, data loss:0.001451
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.000810
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:022, data loss:0.001065
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.000728
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:023, data loss:0.001136
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.000962
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:024, data loss:0.002243
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.000748
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:025, data loss:0.001516
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.000780
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:026, data loss:0.000547
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.000660
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:027, data loss:0.000752
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.000653
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:028, data loss:0.001432
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.000619
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:029, data loss:0.001334
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.000627
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:030, data loss:0.000441
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.000643
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:031, data loss:0.000737
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.000553
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:032, data loss:0.000665
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.000541
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:033, data loss:0.000868
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000582
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:034, data loss:0.000751
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000536
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:035, data loss:0.000967
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.000538
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:036, data loss:0.001012
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000600
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:037, data loss:0.001271
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000540
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:038, data loss:0.000653
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000575
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:039, data loss:0.001004
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000474
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:040, data loss:0.001066
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000482
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:041, data loss:0.000468
