data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.757096
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.339496
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.252012
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.097951
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.084526
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.048364
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.086213
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.062119
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.057119
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.007480
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.033762
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.025263
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.038150
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.011675
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.016685
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.005331
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.012055
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.005013
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.011175
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:010, data loss:0.003717
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.006612
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:011, data loss:0.004525
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.004563
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:012, data loss:0.002518
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.004179
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:013, data loss:0.002810
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.003082
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:014, data loss:0.003303
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002460
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:015, data loss:0.001807
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002373
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:016, data loss:0.002306
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002192
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:017, data loss:0.002685
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001985
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:018, data loss:0.002316
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001896
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:019, data loss:0.002128
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001765
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:020, data loss:0.002617
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001605
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:021, data loss:0.001778
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001634
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:022, data loss:0.002406
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001649
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:023, data loss:0.002183
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001641
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:024, data loss:0.002285
