data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.851777
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:001, data loss:0.490473
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.438830
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:002, data loss:0.197693
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.197420
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:003, data loss:0.090476
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.133188
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:004, data loss:0.143667
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.156749
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:005, data loss:0.129265
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.105023
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:006, data loss:0.043803
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.038373
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:007, data loss:0.009057
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.035795
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:008, data loss:0.029053
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.060525
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:009, data loss:0.018380
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.033194
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:010, data loss:0.005315
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.014827
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:011, data loss:0.018176
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.017892
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:012, data loss:0.027024
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.018001
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:013, data loss:0.014744
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.016141
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:014, data loss:0.004007
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.017374
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:015, data loss:0.001937
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.013692
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:016, data loss:0.003226
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.008904
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:017, data loss:0.006154
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.006866
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:018, data loss:0.006285
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.006210
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:019, data loss:0.004151
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.006744
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:020, data loss:0.002496
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.005495
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:021, data loss:0.002178
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.006051
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:022, data loss:0.003012
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.004450
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:023, data loss:0.004403
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.004193
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:024, data loss:0.004543
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.003995
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:025, data loss:0.003494
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.003170
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:026, data loss:0.002495
