data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.535198
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:001, data loss:0.291020
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.242846
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:002, data loss:0.104004
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.113709
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:003, data loss:0.085285
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.113233
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:004, data loss:0.101717
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.098660
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:005, data loss:0.039965
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.041304
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:006, data loss:0.012480
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.035991
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:007, data loss:0.038308
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.054874
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:008, data loss:0.018982
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.027906
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:009, data loss:0.011136
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.020866
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:010, data loss:0.023390
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.020005
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:011, data loss:0.007825
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.009887
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:012, data loss:0.003924
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.015810
2025-03-13 12:40 - function:valid - INFO - [Valid] epoch:013, data loss:0.005772
2025-03-13 12:40 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.012541
