data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.403548
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:001, data loss:0.062131
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.083305
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:002, data loss:0.070124
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.058659
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:003, data loss:0.009879
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.026964
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:004, data loss:0.015809
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.018198
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:005, data loss:0.003785
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.008653
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:006, data loss:0.004123
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.007034
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:007, data loss:0.003711
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.005044
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:008, data loss:0.003171
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.003211
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:009, data loss:0.002599
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.002987
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:010, data loss:0.002702
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002811
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:011, data loss:0.002088
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002472
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:012, data loss:0.002647
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002068
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:013, data loss:0.001469
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.001914
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:014, data loss:0.002615
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.001759
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:015, data loss:0.001521
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002063
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:016, data loss:0.002426
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002049
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:017, data loss:0.002990
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001766
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:018, data loss:0.000894
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001546
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:019, data loss:0.001534
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001648
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:020, data loss:0.002835
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001537
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:021, data loss:0.002554
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001414
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:022, data loss:0.002617
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001457
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:023, data loss:0.002203
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001449
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:024, data loss:0.002388
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001327
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:025, data loss:0.002350
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001444
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:026, data loss:0.001178
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001225
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:027, data loss:0.001131
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001111
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:028, data loss:0.001360
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001047
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:029, data loss:0.001646
