data path:
['data/XJTU data\\R2.5_battery-1.csv', 'data/XJTU data\\R2.5_battery-2.csv', 'data/XJTU data\\R2.5_battery-3.csv', 'data/XJTU data\\R2.5_battery-5.csv', 'data/XJTU data\\R2.5_battery-6.csv', 'data/XJTU data\\R2.5_battery-7.csv']
data path:
['data/XJTU data\\R2.5_battery-4.csv', 'data/XJTU data\\R2.5_battery-8.csv']
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.412484
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:001, data loss:0.072745
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.076411
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:002, data loss:0.054948
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.067336
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:003, data loss:0.006169
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.025310
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:004, data loss:0.021998
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.024585
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:005, data loss:0.001712
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.011154
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:006, data loss:0.006476
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.010227
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:007, data loss:0.001142
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.005826
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:008, data loss:0.002118
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.005083
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:009, data loss:0.001426
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.003513
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:010, data loss:0.001471
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.002544
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:011, data loss:0.000954
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.002258
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:012, data loss:0.001313
2025-03-13 12:38 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002063
2025-03-13 12:38 - function:valid - INFO - [Valid] epoch:013, data loss:0.001771
