data path:
['data/XJTU data\\R3_battery-1.csv', 'data/XJTU data\\R3_battery-2.csv', 'data/XJTU data\\R3_battery-3.csv', 'data/XJTU data\\R3_battery-5.csv', 'data/XJTU data\\R3_battery-6.csv', 'data/XJTU data\\R3_battery-7.csv']
data path:
['data/XJTU data\\R3_battery-4.csv', 'data/XJTU data\\R3_battery-8.csv']
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.915072
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:001, data loss:0.289257
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.141817
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:002, data loss:0.093273
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.117999
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:003, data loss:0.059027
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.050958
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:004, data loss:0.023798
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.050980
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:005, data loss:0.019359
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.026913
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:006, data loss:0.007489
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.020309
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:007, data loss:0.004451
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.011560
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:008, data loss:0.003338
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.008055
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:009, data loss:0.002644
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.005542
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:010, data loss:0.004160
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.003931
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:011, data loss:0.003052
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.003097
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:012, data loss:0.002629
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.002483
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:013, data loss:0.002334
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002507
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:014, data loss:0.002830
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002030
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:015, data loss:0.002258
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.001958
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:016, data loss:0.002822
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.001717
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:017, data loss:0.003053
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001614
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:018, data loss:0.001852
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001464
