data path:
['data/XJTU data\\RW_battery-1.csv', 'data/XJTU data\\RW_battery-2.csv', 'data/XJTU data\\RW_battery-3.csv', 'data/XJTU data\\RW_battery-5.csv', 'data/XJTU data\\RW_battery-6.csv', 'data/XJTU data\\RW_battery-7.csv']
data path:
['data/XJTU data\\RW_battery-4.csv', 'data/XJTU data\\RW_battery-8.csv']
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.545272
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:001, data loss:0.286098
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.270479
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:002, data loss:0.138534
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.167434
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:003, data loss:0.126082
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.152083
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:004, data loss:0.096824
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.094952
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:005, data loss:0.030577
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.040158
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:006, data loss:0.016011
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.041706
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:007, data loss:0.025654
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.040808
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:008, data loss:0.010752
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.024579
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:009, data loss:0.026257
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.026665
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:010, data loss:0.018899
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.012393
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:011, data loss:0.001434
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.011661
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:012, data loss:0.008042
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.017290
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:013, data loss:0.000546
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.006217
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:014, data loss:0.013649
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.010733
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:015, data loss:0.013660
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.006713
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:016, data loss:0.001221
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.004016
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:017, data loss:0.001812
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.006460
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:018, data loss:0.000486
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.003291
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:019, data loss:0.002752
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.003245
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:020, data loss:0.006094
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.003936
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:021, data loss:0.002234
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.002543
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:022, data loss:0.000356
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.003395
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:023, data loss:0.000258
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.002334
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:024, data loss:0.001349
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001709
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:025, data loss:0.003944
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001788
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:026, data loss:0.002143
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001681
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:027, data loss:0.000585
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001904
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:028, data loss:0.001439
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001558
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:029, data loss:0.003219
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001397
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:030, data loss:0.001436
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001238
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:031, data loss:0.000405
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.001130
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:032, data loss:0.000804
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.001045
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:033, data loss:0.001671
2025-03-13 12:39 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.001090
2025-03-13 12:39 - function:valid - INFO - [Valid] epoch:034, data loss:0.001199
