data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.739092
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.231028
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.189695
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.093789
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.072795
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.020386
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.056175
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.038740
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.047096
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.008956
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.026805
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.006851
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.029190
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.010929
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.021637
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.006658
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.013464
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.000967
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.011885
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:010, data loss:0.002546
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.009296
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:011, data loss:0.003825
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.006766
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:012, data loss:0.001025
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.005061
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:013, data loss:0.002650
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.003995
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:014, data loss:0.000368
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.003555
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:015, data loss:0.001859
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002945
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:016, data loss:0.000625
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002507
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:017, data loss:0.000869
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.002199
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:018, data loss:0.000735
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.002066
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:019, data loss:0.000923
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001741
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:020, data loss:0.000588
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001751
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:021, data loss:0.001246
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001661
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:022, data loss:0.000618
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001422
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:023, data loss:0.001151
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001332
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:024, data loss:0.000524
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001289
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:025, data loss:0.000887
