data path:
['data/XJTU data\\2C_battery-1.csv', 'data/XJTU data\\2C_battery-2.csv', 'data/XJTU data\\2C_battery-3.csv', 'data/XJTU data\\2C_battery-5.csv', 'data/XJTU data\\2C_battery-6.csv', 'data/XJTU data\\2C_battery-7.csv']
data path:
['data/XJTU data\\2C_battery-4.csv', 'data/XJTU data\\2C_battery-8.csv']
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:001, data loss:0.686716
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:001, data loss:0.311937
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:002, data loss:0.223371
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:002, data loss:0.066586
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:003, data loss:0.068663
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:003, data loss:0.072645
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:004, data loss:0.096760
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:004, data loss:0.043549
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:005, data loss:0.044651
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:005, data loss:0.017159
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:006, data loss:0.037660
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:006, data loss:0.018370
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:007, data loss:0.029695
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:007, data loss:0.010537
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:008, data loss:0.015011
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:008, data loss:0.010181
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:009, data loss:0.008607
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:009, data loss:0.002976
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:010, data loss:0.008439
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:010, data loss:0.003202
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:011, data loss:0.006369
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:011, data loss:0.008889
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:012, data loss:0.004566
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:012, data loss:0.002317
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:013, data loss:0.004016
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:013, data loss:0.003042
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:014, data loss:0.002689
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:014, data loss:0.003733
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:015, data loss:0.002195
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:015, data loss:0.001786
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:016, data loss:0.002105
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:016, data loss:0.003002
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:017, data loss:0.002045
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:017, data loss:0.002784
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:018, data loss:0.001921
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:018, data loss:0.001903
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:019, data loss:0.001768
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:019, data loss:0.003428
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:020, data loss:0.001641
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:020, data loss:0.001819
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:021, data loss:0.001484
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:021, data loss:0.002677
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:022, data loss:0.001414
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:022, data loss:0.002068
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:023, data loss:0.001393
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:023, data loss:0.002470
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:024, data loss:0.001366
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:024, data loss:0.001966
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:025, data loss:0.001361
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:025, data loss:0.002746
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:026, data loss:0.001289
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:026, data loss:0.001704
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:027, data loss:0.001223
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:027, data loss:0.002376
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:028, data loss:0.001310
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:028, data loss:0.001949
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:029, data loss:0.001133
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:029, data loss:0.002226
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:030, data loss:0.001106
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:030, data loss:0.001942
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:031, data loss:0.001004
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:031, data loss:0.001610
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:032, data loss:0.001132
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:032, data loss:0.001972
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:033, data loss:0.001042
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:033, data loss:0.001982
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:034, data loss:0.000917
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:034, data loss:0.001493
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:035, data loss:0.000974
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:035, data loss:0.001901
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:036, data loss:0.001056
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:036, data loss:0.001529
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:037, data loss:0.000868
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:037, data loss:0.001541
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:038, data loss:0.000865
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:038, data loss:0.002363
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:039, data loss:0.000930
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:039, data loss:0.001463
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:040, data loss:0.000756
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:040, data loss:0.001567
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:041, data loss:0.000769
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:041, data loss:0.001544
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:042, data loss:0.000832
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:042, data loss:0.001675
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:043, data loss:0.000774
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:043, data loss:0.001224
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:044, data loss:0.000686
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:044, data loss:0.001598
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:045, data loss:0.000658
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:045, data loss:0.001499
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:046, data loss:0.000687
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:046, data loss:0.001536
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:047, data loss:0.000667
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:047, data loss:0.001384
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:048, data loss:0.000617
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:048, data loss:0.001253
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:049, data loss:0.000602
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:049, data loss:0.001416
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:050, data loss:0.000533
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:050, data loss:0.001156
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:051, data loss:0.000573
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:051, data loss:0.001342
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:052, data loss:0.000557
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:052, data loss:0.001250
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:053, data loss:0.000489
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:053, data loss:0.001073
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:054, data loss:0.000444
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:054, data loss:0.000851
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:055, data loss:0.000479
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:055, data loss:0.000939
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:056, data loss:0.000445
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:056, data loss:0.001520
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:057, data loss:0.000518
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:057, data loss:0.001092
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:058, data loss:0.000455
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:058, data loss:0.000735
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:059, data loss:0.000407
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:059, data loss:0.000876
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:060, data loss:0.000434
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:060, data loss:0.001177
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:061, data loss:0.000403
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:061, data loss:0.001257
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:062, data loss:0.000434
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:062, data loss:0.000992
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:063, data loss:0.000449
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:063, data loss:0.000766
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:064, data loss:0.000414
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:064, data loss:0.000976
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:065, data loss:0.000365
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:065, data loss:0.000814
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:066, data loss:0.000351
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:066, data loss:0.000740
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:067, data loss:0.000357
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:067, data loss:0.000812
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:068, data loss:0.000364
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:068, data loss:0.001101
2025-03-13 12:36 - function:train_one_epoch - INFO - [Train] epoch:069, data loss:0.000373
2025-03-13 12:36 - function:valid - INFO - [Valid] epoch:069, data loss:0.000877
